標題,連結,來源,時間,內文
珊珊颱風襲日本 鹿兒島強風豪雨掀巨浪 愛知土石流壓垮民宅,https://news.google.com/read/CBMijgNBVV95cUxPWlNKUzdGQ0JkYXVpRmVhaVZlY1ZqQUhZYTZfbG5fcDFqSXhBRHJuWTN0TXJPQXBZR3hqZU5aRjFQc3FjZmpTTjExRG4tSklUeXFpUkExVG9Wa3d0cXpTVlBuc0V3YkdYRTFtUGNQY0hKem1qMWg4RFFxZkdpSVR5em5pYXFUZkF3anVUVHlYMzZtSTZtaEpCWXVSdzNmUkgzNUN6aGRORFdjeUxYSVZRMEdxSy12ZHpZV0c0c1Vvd3hZdHBsbk5TREFjNk10U2NjWXNaWDZvdVBEVWp6V29IWG9EazUwOEZvRy1feEZjU0FXQmNzQUdUeV9SaGVhUUlIVElfX1NNanZYWjdmVllZNXpTbkUzMWRYYWpjT0pSTnF5NUJUdlV2NTFnZkh1QTJTNWxhTEdVUHRfY2lzNlpkZzJzeVgtemFXTnV4UkRJR1JNVXZFOWtPLWs5TldEN2hMQkhoVTFBZG5Zd2NXLUdUcHJ3MVJWdzBWLXB1cjVjeHpUY2VPU256UUxMUFFKUQ?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,Yahoo奇摩新聞,8月28日,"珊珊颱風往北直撲日本，更有可能「縱貫全日」，8月28日鹿兒島地區出現強風豪雨，奄美市路樹倒塌，樹木被吹得劇烈搖晃，海岸則湧現翻騰巨浪。日本氣象廳28日午間已向奄美地區之外的鹿兒島縣，發布強風和巨浪緊急警報，呼籲民眾保持最高警惕，採取提早疏散等安全措施。
截至28日中午24小時，奄美降雨量估達400毫米、風速每小時超過140公里，奄美機場27日已宣告關閉。中部愛知縣27日深夜則因強降雨造成土石流，壓垮民宅，其中3人獲救2失聯，自衛隊搜救中。
珊珊29日將逼近九州南部，之後在九州登陸，本周末將抵達日本中部和東部地區，首都東京也在籠罩範圍內。JR東海28日宣布東海道新幹線靜岡縣和愛知縣的部分區間路段減速運行；九州及本州新幹線至9月1日大部分地區服務，可能也會暫停。
首相官邸的情報聯絡室已升級為官邸對策室，並設置特定災害對策總部。珊珊威力驚人，此前已達氣象廳分類的「非常強烈颱風」，氣象廳表示，由於路徑存在許多不確定因素，可能變成「迷走颱風」，加上海溫升高，又助長颱風能量，恐為關東地區等帶來致災大雨。"
快訊》雨區再擴大！ 14縣市大雨特報2縣市防大雷雨| 生活,https://news.google.com/read/CBMiWkFVX3lxTFBCMzU0TjlsWFNjYlV2cXBTU3VZbEJCTDZIZTZHY1NHbDZiYllKMDFLTjcyQkJ4M0J3OTJuWVZ6Z2haeDkzR3FYY2dLZFRWUF96V3JrVnRWemk5QQ?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,Newtalk新聞,7 天前,"對流雲系發展旺盛，易有短延時強降雨，今（14）日桃園以北、南投、彰化至高雄地區及新竹至台中山區有局部大雨發生的機率，注意雷擊及強陣風，山區慎防坍方及落石，低窪地區慎防積水。
氣象署針對「嘉義縣、台南市」發布大雷雨即時訊息，持續時間至中午12時30分止。氣象署說，旺盛發展的對流常伴隨打雷、閃電與劇烈降雨，並可能出現較強陣風甚、或伴隨冰雹發生，若發生於溪流河川上游易於下游出現溪（河）水暴漲，排水不良區域則易發生淹（積）水現象，強大雨勢威脅各項戶外活動並將造成能見度欠佳影響行車安全，山區易發生坍方、落石、土石流。
今(14)日桃園以北、南投、彰化至高雄地區及新竹至台中山區有局部大雨發生的機率。   圖：翻攝自中央氣象署官網"
氣象局發布多個警報！中南部9縣市大雨特報台中溪水暴漲警戒| 生活,https://news.google.com/read/CBMiWkFVX3lxTE1qZmFUS0RiVWFFUzBiMmVNVGM0Z1VfRHlveldXZE45bEFpblpLbDhMQzc3SjNzWmNTQ2praTJsSTRReGhmYkhSMXJ4VUdYUFhnSml3ekw0ZWV5QQ?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,Newtalk新聞,20 天前,"中央氣象署今（1）日下午針對台灣中南部地區發布一系列天氣警報，包括對台中以南 9 個縣市的大雨特報，以及苗栗縣、台中市、南投縣的大雷雨即時訊息。更值得注意的是，氣象署特別針對台中市發布山區暴雨溪水暴漲警示，呼籲民眾迅速遠離溪流區域。
大雨特報範圍包括：台中市、南投縣、彰化縣、雲林縣、嘉義縣市、台南市、高雄市、屏東縣。氣象署針對苗栗縣、台中市、南投縣發布大雷雨即時訊息，提醒民眾慎防劇烈降雨、雷擊，溪（河）水暴漲，低窪地區慎防淹水，以及低能見度。此警示持續至 16 時 00 分止。
此外，氣象署還發布了針對台中市的「大雷雨即時訊息」和「山區暴雨之溪水暴漲警示」。警示內容指出，台中市附近有暴雨發生的機率，提醒民眾留意溪水暴漲並儘速遠離溪流。這項警示預計持續至當日下午 4 時 54 分。
氣象署呼籲民眾密切關注最新天氣資訊，並採取必要的安全防護措施。
氣象署今（1）日下午針對台灣中南部地區發布一系列天氣警報，包括對台中以南 9 個縣市的大雨特報。   圖：翻攝自氣象署網站
氣象局今發布中南部大雨警報，特別提醒台中山區暴雨可能引發溪水暴漲，請民眾避開溪流地帶。   圖：翻攝自氣象署網站"
連日大雨襲中東歐 30年最嚴重洪水釀至少8死 直擊災情現場,https://news.google.com/read/CBMi-gJBVV95cUxPVVNXVGU0VGRsdG00M2dzM1h4T0JrQmxvb0ZKa2JnZGNNemc3NzhsUzJ0dllrTGVEREszQWo1a2JUTzZxM2wtT0hBREFna3VwUFJnenAzNG9XR1V2cnItNGQ2LXRxMnF5VXU3MTRJV0pQOS1qQi1nc0lYa3pGWkY0czMzNlJReU1QeG5IT0FHU1pVeFlIVGZZTnFRak9YTy1xUU9UeHBXcjNsM2RTUnh3MThHSHhTTERLQVZmT2hyNThnTVAyNXdhQnZ6YllfR2xaakh3d3BpclI2bFdmcU1FQmlvLTI0SVNzY2xIRTM0c3ltTVN0U2JzWnNnQmpaR25VMFVWYkNRYXVVei1LUmNpQWY2YlJtT3BVN3g2VmhhcVNIekpRQTV0cjRQbDAxRTZvclBwM1Nxb0lYRzVabHB0UlhwcVB6S0N3YzZoSkRFSUFFXzFaZUpkVWh4NUZtRkc5ZEppNi02dDVsNDZoR1dXNExPSnVqOFNQNUE?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,Yahoo奇摩新聞,5 天前,"風暴波瑞斯（Storm Boris）為中東歐帶來連日大雨，捷克、波蘭等出現近30年最嚴重的洪患，截至9月15日，中歐地區至少已8死，數千房屋被破壞、25萬戶停電。羅馬尼亞首當其衝，洪水退去後，居民行走在遭蹂躪後的家園，無語問蒼天；而波蘭河流一夜之間水位暴漲，有的甚至超出警戒水位快3倍，沖垮鐵橋，當局宣布進入災難狀態，並請求歐盟支援。
捷克亦災情慘重，湍急的洪水流過大街小巷，部分地區通信中斷，當局已緊急疏散上萬人。然而，大雨仍未止息，在匈牙利首都布達佩斯，當局預計本周多瑙河水位將上漲超過8.5公尺，接近2013年8.91公尺的紀錄。
BBC指出，波瑞斯之所以如此具破壞性的原因，首先是地中海、黑海海水異常高溫，來自北方的冷空氣與溫暖的溼氣混合在一起；其次，低壓被困在西部和東部的高壓之間，陷入「阻塞模式」。自2021年西歐極端洪災後，專家表示歐洲發生類似事件的可能性和強度正在增加。"
台灣今明高溫飆38度! 珊珊颱風恐降「前所未見」超大豪雨整死日本| 生活,https://news.google.com/read/CBMiWkFVX3lxTFBBbGo1RHlmTHRBZFZMRGlIcG5NVGN3QzdILWtSQjBoQVpDUTktempjbjlFNXBENnVmVmVYcFREODdWZHpnT2xTaXpkbjVfMFJLRV9jQWhBSlhqZw?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,Newtalk新聞,8月27日,"中央氣象署持續發布高溫資訊，今（27）天全台天氣高溫炎熱，中午前後台北市、新北市、屏東縣、台東縣為黃色燈號。另一方面，第10號中度颱風「珊珊」預計將對日本造成劇烈影響，可能接續沿路襲擊西日本及東日本，且由於行進速度緩慢，可能帶來多日強烈降雨，甚至打破歷史紀錄，尤其是九州地區須提高警覺，28至29日的48小時內，雨量預估來到600mm，比現存的歷史觀測紀錄高出150%。
氣象署表示，今天水氣減少，台灣各地及澎湖、金門、馬祖為晴到多雲的天氣，環境逐漸轉吹西南風，清晨中南部地區有零星降雨的機率，而午後熱對流降雨範圍縮小，主要在各山區有局部短暫雷陣雨，前往山區溪澗附近活動需留意溪水暴漲；氣溫方面，各地高溫普遍為32至35度，感受上高溫悶熱，局部溫度會再更高一些，且近中午前後紫外線偏強，外出務必做好防曬並多補充水份。
中央大學大氣科學系兼任副教授吳德榮在「洩天機教室」專欄提到，今明兩天太平洋高壓雖減弱、因珊珊外圍沉降增溫，台灣各地晴朗無雲，紫外線強、最高溫恐達37、38度，應注意防曬、防中暑。週四至下週日盛行西南及偏南風、天氣仍偏熱，注意防曬、防中暑；與陸風輻合、清晨西半部偶有局部短暫陣雨，午後近山區局部雷陣雨發展，並擴展至部分平地，有局部性大雷雨發生的機率。
氣象署指出，中颱珊珊清晨2點位於台北東北東方1010公里之海面上，目前颱風與其外圍環流正在影響琉球群島及其附近海域，並向西北轉北北西前進，預估本週將影響日本。吳德榮說，中颱珊珊已有清晰的颱風眼，在日本九州南方海面，受太平洋高壓導引，向西北西逐漸轉北，明、後天再逐漸大迴轉，登陸九州前威力達最強，之後受地形破壞、逐漸減弱。各國官方預測圖顯示，將有2次或3次登陸日本（先登陸九州、再四國、或本州）的機率。若有日本行程，應密切注意颱風動態。
日本氣象協會警告，珊珊颱風帶來的溫暖濕空氣將陸續從日本西部影響至東部，從28日起就會有明顯降雨，珊珊颱風的行進速度緩慢，因此停滯時間變長，連日大雨可能造成河川氾濫、土石流等災害。九州地區從28日開始面臨紀錄性大雨，在28、29日這段期間，48小時內雨量估計達到600mm，比起現存紀錄高出150%；四國、東海地區則會從29日至31陸續迎來大雨。靜岡大學教授牛山素行提醒，本次大雨可能出現大型災害，甚至天災受害者會大量出現。
珊珊颱風恐在日本降下歷史性大雨。   圖：翻攝日本氣象協會"
中東歐連日豪雨釀洪災 羅馬尼亞4死、捷克、波蘭防洪｜#鏡新聞,https://news.google.com/read/CBMi-gJBVV95cUxPVkdoeDVXY01rUUthVEY5ZEc5LWh5c3oxU2UycTVOXzV3MlROT3hmbGlzXzN0R2NxWWlHZUZGdHBSbW80eVF1SXNUdXFDNHUxaHBkdXRIVFhwRm9mLUJTR29QZW9tdEkwd2tZc2Y4Qkp2Nnk1a0NyQXFfQm9iVGRpcGFxMnltYTlCc0lxbGVZZ05sQjZkZ1Q1YkJnVUtGU0tiVmIzNmVSdTBvbF9sYlpZRVcwZjVEUDhxbWhOSjFEUF9tbXpnaTEwWWprUFd0TmxHUGJhSXdoN1MwSjRaQ0t0UUExdkFxWFNNZExKN2xWNUtQbzB4SHM3VlB3Y3NXWGlrNkpOQk5BNThvdHp0d3NfZ1RJMUtTcUdYTkZZZDFJeVYxbWdlcHhfNGxKVzV3Umlvbll1VFExYWRna0haLXV4VWRrbTJHbWdPb3J2NnpocWwwbVlvNGpmOEtHbkdvVmM5MkFRbmFGVVV6ZkZ5bHJUcTBoRDRZREtOc0E?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,Yahoo奇摩新聞,6 天前,歐洲中部和東部最近受到熱帶風暴的侵襲，捷克、波蘭和羅馬尼亞連日暴雨，羅馬尼亞甚至有4人死亡，捷克當局更表示，這場風暴帶來近50年來最多的雨量，至少上萬人被撤離。但全球氣候異常，另一邊南美洲的巴西野火不斷，全國6成的領土都壟罩在野火的濃煙下。
快訊》大雨特報再擴大！4縣市大雷雨再轟1小時氣象署發災防告警| 生活,https://news.google.com/read/CBMiWkFVX3lxTE9JN2o3RDZRbmNSTWh0ZXktTVhKa3gyOFF4NEJCNDF3N3J3b0k0UmFDTUUyTTYxTEZmaVl4M0h1cjJwbWxmZVE4NEZqdTRtYXA3S3lWRzNWSlRzQQ?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,Newtalk新聞,8月31日,"午後對流雲系發展旺盛，易有短延時強降雨，今(31)日高雄、屏東、台東地區及台中、南投、雲林以南山區有局部大雨發生的機率，請注意雷擊及強陣風，山區慎防坍方、落石及溪水暴漲，低窪地區慎防積水。同時中央氣象署也針對4縣市發布大雷雨即時消息及災防告警。
氣象署針對8縣市發布大雨特報，範圍包括台中市山區、南投縣山區、雲林縣山區、嘉義縣山區、台南市山區、高雄市、屏東縣、恆春半島、台東縣。因對流影響，氣象署也特別針對「嘉義縣、台南市、高雄市、屏東縣」發布大雷雨即時訊息，持續時間至17時30分止。
氣象署也針對台南市、屏東縣發布災防告警，氣象署表示，旺盛發展的對流常伴隨打雷、閃電與劇烈降雨，並可能出現較強陣風甚或伴隨冰雹發生，若發生於溪流河川上游易於下游出現溪(河)水暴漲。
今(31)日高雄、屏東、台東地區及台中、南投、雲林以南山區有局部大雨發生的機率。   圖：翻攝自中央氣象署官網"
3縣市發布豪、大雨特報！季風低壓環流雨帶來襲今起雨下到下週二| 生活,https://news.google.com/read/CBMiWkFVX3lxTE1tbHVFemxueXNqR1dWM0ZtbTJTWnZmU3hJYU9lbEZCRjh2MjBHNG0tLUtaODVjeVBWTHphTlZDa3pHR1pCQXBtWnNkN1F6MDhNcGNqVkNadjFrZw?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,Newtalk新聞,昨天,"受到南方雲系北移影響，今（20）天天氣較不穩定，中央氣象署表示，南部、東南部地區及澎湖有不定時短暫陣雨或雷雨，其他地區為多雲到晴，午後有局部短暫雷陣雨，尤其南部、東南部地區及午後中部地區及各山區有局部大雨發生的機率，外出請留意天氣變化，並攜帶雨具備用；氣溫方面，預測各地白天高溫約32至35度，沒下雨時天氣仍較悶熱。
氣象署發布豪雨特報，屏東縣有局部大雨或豪雨，高雄及台東地區有局部大雨發生的機率，請注意雷擊及強陣風，低窪地區請慎防積水，山區注意坍方、落石及溪水暴漲。氣象署同時也發布高溫資訊，今天各地高溫炎熱，中午前後台東縣為黃色燈號，請注意。
此外，14號輕度颱風「葡萄桑」，清晨2點中心已登陸上海，距離台北北方約750公里，移速緩慢；第15號颱風「蘇力」清晨2點減弱為熱帶性低氣壓，對台灣天氣沒有影響。中央大學大氣科學系兼任副教授吳德榮也在「老大洩天機」專欄提到，葡萄桑颱風通過上海附近，將迴轉出海、減弱為熱帶低壓。蘇力颱風登陸越南中部後、減弱為熱帶低壓。
吳德榮指出，今天開始至下週二、大季風低壓環流逐漸北移、並形成雨帶通過台灣，帶來大雷雨及劇烈天氣威脅。今、明兩天、中部以北白天仍偏熱。南方水氣北移，南台灣有局部陣雨或雷雨；大氣很不穩定，上午起強對流逐漸向北擴展，各地區皆有局部大雷雨發生的機率。應慎防劇烈天氣（雷擊、強風及瞬間強降雨），入夜雨勢趨緩。
吳德榮續指，週日至下週二季風低壓形成雨帶通過，各地有局部陣雨或雷雨，有局部大雷雨及豪雨發生的機率，應慎防劇烈天氣，天氣稍轉涼。下週三、週四雨帶北移至東海，降雨減緩，北部有局部短暫陣雨，午後近山區有局部陣雨或雷雨的機率，北台稍涼。"
氣象局急發警報！11縣市大雨特報多縣市遭大雷雨襲擊| 生活,https://news.google.com/read/CBMiWkFVX3lxTE9nVFdBX25kdTZzMjQxWDRFS2gtREl5ajVmOWpDbkhwQzdSZmF1YjhwVXJZSUFGS1h5WGJ5Q3IxMmp0TE5pRDZSTzFlZ2lCZEVqTmZWaWRkdTFMZw?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,Newtalk新聞,15 天前,"中央氣象署今（6）日下午對多個縣市發布大雷雨即時訊息和11 個縣市大雨特報。氣象署進一步表示，苗栗、台南、高雄、南投、屏東等地區需警戒劇烈降雨、雷擊和溪水暴漲風險，提醒民眾多注意天氣變化。
氣象署於下午 15 時 11 分對苗栗縣發布警報，預計持續至 16 時 15 分。緊接著，台南市和高雄市也在 15 時 28 分收到警報，預計持續至 16 時 30 分。
南投縣於 15 時 35 分接獲大雷雨警報，預計持續至 16 時 30 分。而台南市、高雄市和屏東縣則在 15 時 41 分再度收到警報，預計持續至 16 時 45 分。這些地區的民眾應特別留意劇烈降雨、雷擊等天氣現象，同時也要謹防溪水暴漲和低窪地區淹水的可能。
除了大雷雨警報外，氣象署也在下午 15 時 30 分對 11 個縣市發布大雨特報。受到午後對流雲系發展旺盛的影響，雲林以南、花蓮、台東、苗栗、台中及南投等地區都有機會出現局部大雨。氣象專家提醒民眾，外出時要特別注意雷擊和強陣風的危險。
大雷雨即時訊息的示警區域相當廣泛，包括苗栗縣的苗栗市、卓蘭鎮、大湖鄉等 12 個鄉鎮市區；台南市的西港區、七股區、新化區等 18 個區；高雄市的田寮區、阿蓮區；以及南投縣的南投市、草屯鎮、竹山鎮等 9 個鄉鎮市。
而大雨特報則涵蓋了更多地區，影響時間預計從 6 日下午持續到晚上。特報範圍包括苗栗縣、台中市、南投縣、雲林縣、嘉義市、嘉義縣、台南市、高雄市、屏東縣、恆春半島、花蓮縣、台東縣，以及蘭嶼綠島等離島地區。
氣象署特別提醒，由於午後對流雲系發展旺盛，容易出現短時間內的強降雨。民眾在外出時應隨時留意天氣變化，做好防範措施。特別是在溪流附近活動時，要格外小心溪水暴漲的危險，並迅速遠離溪流區域。
氣象署今（6）日下午對多個縣市發布大雷雨即時訊息和 11 個縣市大雨特報。   圖：氣象署／提供"
奈及利亞大洪水逾20萬人流離失所170人死亡、蘇丹大雨大壩倒塌災情慘重| 國際,https://news.google.com/read/CBMiWkFVX3lxTE5rLXpiQktQLVZSVzI2dWJuNDZnWl85NFh6UE91eWllOVNsYVJuNThJTDI4WERHVUpfLV96TE5aMUhISDRFVUtndTNSZmZiWjdZN2N5cUxkVVA5dw?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,Newtalk新聞,8月28日,"綜合外媒報導，近日蘇丹因暴雨和潰壩引發的洪水，造成的死亡人數已上升至 132 人。據政府委員會表示，洪水摧毀了 10 個省份的 12,000 多座房屋，超過 30,000 個家庭受到影響。另外，奈及利亞也陷入大淹水。
8 月 26 日，聯合國緊急救援機構報告指出，蘇丹西北部紅海州的阿爾巴特大壩倒塌事故造成至少 30 人死亡。聯合國人道事務協調辦公室（OCHA）警告，已經飽受內戰困擾的蘇丹，許多人仍失蹤和流離失所，洪水遭成的死亡人數可能會進一步上升。
人道協調廳強調，通訊網絡的損壞使得準確資訊的收集變得困難。此外，受損的大壩是蘇丹港的主要淡水來源，其損壞將影響供水，進一步惡化紅海區域的人道主義。自 6 月以來的洪水已經導致超過 10 萬人流離失所，並加劇該國的內政破壞性的分裂。人道協調廳 7 月表示，蘇丹全國一半以上的人口仍面臨嚴重飢餓。
科學家指出，人為造成的氣候變化使極端天氣事件愈加頻繁，蘇丹是受氣候影響最嚴重的國家之一，面臨致命的降雨、洪水及乾旱。
與此同時，奈及利亞的洪水也造成了至少170人死亡，超過 20 萬人流離失所。國家緊急事務管理局（NEMA）表示，北部地區受災最為嚴重，但全國各地仍面臨風險。奈及利亞水文服務局（NIHSA）預警，來自鄰國的洪水有可能進一步影響該國，並敦促沿尼日河的州保持警惕。
根據最新數據，非洲洪災已造成近 2,000 人傷亡，並摧毀了超過 10 萬公頃的農地。人道協調廳的報告指出，該地區的災情仍在加劇，急需國際社會的關注與援助。
 
 
蘇丹內戰仍在持續中，街道殘破不勘   圖：美聯社／達志影像
非洲人口最多的奈及利亞連月降雨釀河水暴漲   圖：美聯社／達志影像"
明起降溫轉涼！專家：留意局部豪大雨| 生活,https://news.google.com/read/CBMiWkFVX3lxTFBGVVh4WFptRDVjUW9BOXZRUjhkNHlVMnUxWk93aXVWSkFvbXhGTHpFUWsxX1Q0cHVPdm55dUZTVGdWWjNGRWllWktVMFZNREptcXFMRTFvNmRKdw?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,Newtalk新聞,3 小時前,"熱帶擾動發展今(21)日將抵達台灣附近，明起對台灣帶來明顯降雨。「天氣風險 WeatherRisk」臉書粉專表示，因低壓帶南北風會合，週末至下週二降雨多，需留意局部豪大雨。另外，因東北季風以及下雨，明天到下週一各地的氣溫都會較為下降轉涼。
天氣風險公司提到，在台灣東方的熱帶擾動，昨天已升格為熱帶性低氣壓TD19。但因為結構並不好，加上環境不理想，預估發展為颱風的機會不高，本身對台灣的天氣沒有明顯影響。不過隨著熱帶性低氣壓北上，加上位於南海北部的另一個季風低壓中心，共同連結成大範圍的低壓帶環境，造成天氣不穩定。今天受偏南風水氣影響，南部、東南部有短暫陣雨或雷雨。其他地方熱對流發展帶來局部大雷雨的可能性也較為偏高。
天氣風險公司指出，明日至下週一因為北邊有大陸高壓帶來的東北季風南下，台灣附近形成南北風交會的低壓帶環境，各地都將有陣雨或雷雨，並且有局部大雨甚至豪雨發生的可能性。下週二東北季風強度減弱，南海的季風低壓也北上進入廣東省，低氣壓外圍偏南風強度也會慢慢減小，南北風交會的情況趨緩，各地天氣雖然還是不太穩定，但是降雨會比較減小。天氣風險公司提醒民眾，要多加注意天氣的變化，盡可能不要前往危險的區域活動。
「天氣風險 WeatherRisk」臉書粉專表示，因低壓帶南北風會合，週末至下週二降雨多，需留意局部豪大雨。   圖：翻攝自天氣風險 WeatherRisk FB"
